"LocID","Time","AgeGrp"
740,2040,"85-89"
740,2040,"90-94"
740,2040,"95-99"
740,2040,"100+"
740,2045,"0-4"
740,2045,"5-9"
740,2045,"10-14"
740,2045,"15-19"
740,2045,"20-24"
740,2045,"25-29"
740,2045,"30-34"
740,2045,"35-39"
740,2045,"40-44"
740,2045,"45-49"
740,2045,"50-54"
740,2045,"55-59"
740,2045,"60-64"
740,2045,"65-69"
740,2045,"70-74"
740,2045,"75-79"
740,2045,"80-84"
740,2045,"85-89"
740,2045,"90-94"
740,2045,"95-99"
740,2045,"100+"
748,1950,"0-4"
748,1950,"5-9"
748,1950,"10-14"
748,1950,"15-19"
748,1950,"20-24"
748,1950,"25-29"
748,1950,"30-34"
748,1950,"35-39"
748,1950,"40-44"
748,1950,"45-49"
748,1950,"50-54"
748,1950,"55-59"
748,1950,"60-64"
748,1950,"65-69"
748,1950,"70-74"
748,1950,"75-79"
748,1955,"0-4"
748,1955,"5-9"
748,1955,"10-14"
748,1955,"15-19"
748,1955,"20-24"
748,1955,"25-29"
748,1955,"30-34"
748,1955,"35-39"
748,1955,"40-44"
748,1955,"45-49"
748,1955,"50-54"
748,1955,"55-59"
748,1955,"60-64"
748,1955,"65-69"
748,1955,"70-74"
748,1955,"75-79"
748,1960,"0-4"
748,1960,"5-9"
748,1960,"10-14"
748,1960,"15-19"
748,1960,"20-24"
748,1960,"25-29"
748,1960,"30-34"
748,1960,"35-39"
748,1960,"40-44"
748,1960,"45-49"
748,1960,"50-54"
748,1960,"55-59"
748,1960,"60-64"
748,1960,"65-69"
748,1960,"70-74"
748,1960,"75-79"
748,1965,"0-4"
748,1965,"5-9"
748,1965,"10-14"
748,1965,"15-19"
748,1965,"20-24"
748,1965,"25-29"
748,1965,"30-34"
748,1965,"35-39"
748,1965,"40-44"
748,1965,"45-49"
748,1965,"50-54"
748,1965,"55-59"
748,1965,"60-64"
748,1965,"65-69"
748,1965,"70-74"
748,1965,"75-79"
748,1970,"0-4"
748,1970,"5-9"
748,1970,"10-14"
748,1970,"15-19"
748,1970,"20-24"
748,1970,"25-29"
748,1970,"30-34"
748,1970,"35-39"
748,1970,"40-44"
748,1970,"45-49"
748,1970,"50-54"
748,1970,"55-59"
748,1970,"60-64"
748,1970,"65-69"
748,1970,"70-74"
748,1970,"75-79"
748,1975,"0-4"
748,1975,"5-9"
748,1975,"10-14"
748,1975,"15-19"
748,1975,"20-24"
748,1975,"25-29"
748,1975,"30-34"
748,1975,"35-39"
748,1975,"40-44"
748,1975,"45-49"
748,1975,"50-54"
748,1975,"55-59"
748,1975,"60-64"
748,1975,"65-69"
748,1975,"70-74"
748,1975,"75-79"
748,1980,"0-4"
748,1980,"5-9"
748,1980,"10-14"
748,1980,"15-19"
748,1980,"20-24"
748,1980,"25-29"
748,1980,"30-34"
748,1980,"35-39"
748,1980,"40-44"
748,1980,"45-49"
748,1980,"50-54"
748,1980,"55-59"
748,1980,"60-64"
748,1980,"65-69"
748,1980,"70-74"
748,1980,"75-79"
748,1985,"0-4"
748,1985,"5-9"
748,1985,"10-14"
748,1985,"15-19"
748,1985,"20-24"
748,1985,"25-29"
748,1985,"30-34"
748,1985,"35-39"
748,1985,"40-44"
748,1985,"45-49"
748,1985,"50-54"
748,1985,"55-59"
748,1985,"60-64"
748,1985,"65-69"
748,1985,"70-74"
748,1985,"75-79"
748,1990,"0-4"
748,1990,"5-9"
748,1990,"10-14"
748,1990,"15-19"
748,1990,"20-24"
748,1990,"25-29"
748,1990,"30-34"
748,1990,"35-39"
748,1990,"40-44"
748,1990,"45-49"
748,1990,"50-54"
748,1990,"55-59"
748,1990,"60-64"
748,1990,"65-69"
748,1990,"70-74"
748,1990,"75-79"
748,1995,"0-4"
748,1995,"5-9"
748,1995,"10-14"
748,1995,"15-19"
748,1995,"20-24"
748,1995,"25-29"
748,1995,"30-34"
748,1995,"35-39"
748,1995,"40-44"
748,1995,"45-49"
748,1995,"50-54"
748,1995,"55-59"
748,1995,"60-64"
748,1995,"65-69"
748,1995,"70-74"
748,1995,"75-79"
748,1995,"80-84"
748,1995,"85-89"
748,1995,"90-94"
748,1995,"95-99"
748,1995,"100+"
748,2000,"0-4"
748,2000,"5-9"
748,2000,"10-14"
748,2000,"15-19"
748,2000,"20-24"
748,2000,"25-29"
748,2000,"30-34"
748,2000,"35-39"
748,2000,"40-44"
748,2000,"45-49"
748,2000,"50-54"
748,2000,"55-59"
748,2000,"60-64"
748,2000,"65-69"
748,2000,"70-74"
748,2000,"75-79"
748,2000,"80-84"
748,2000,"85-89"
748,2000,"90-94"
748,2000,"95-99"
748,2000,"100+"
748,2005,"0-4"
748,2005,"5-9"
748,2005,"10-14"
748,2005,"15-19"
748,2005,"20-24"
748,2005,"25-29"
748,2005,"30-34"
748,2005,"35-39"
748,2005,"40-44"
748,2005,"45-49"
748,2005,"50-54"
748,2005,"55-59"
748,2005,"60-64"
748,2005,"65-69"
748,2005,"70-74"
748,2005,"75-79"
748,2005,"80-84"
748,2005,"85-89"
748,2005,"90-94"
748,2005,"95-99"
748,2005,"100+"
748,2010,"0-4"
748,2010,"5-9"
748,2010,"10-14"
748,2010,"15-19"
748,2010,"20-24"
748,2010,"25-29"
748,2010,"30-34"
748,2010,"35-39"
748,2010,"40-44"
748,2010,"45-49"
748,2010,"50-54"
748,2010,"55-59"
748,2010,"60-64"
748,2010,"65-69"
748,2010,"70-74"
748,2010,"75-79"
748,2010,"80-84"
748,2010,"85-89"
748,2010,"90-94"
748,2010,"95-99"
748,2010,"100+"
748,2015,"0-4"
748,2015,"5-9"
748,2015,"10-14"
748,2015,"15-19"
748,2015,"20-24"
748,2015,"25-29"
748,2015,"30-34"
748,2015,"35-39"
748,2015,"40-44"
748,2015,"45-49"
748,2015,"50-54"
748,2015,"55-59"
748,2015,"60-64"
748,2015,"65-69"
748,2015,"70-74"
748,2015,"75-79"
748,2015,"80-84"
748,2015,"85-89"
748,2015,"90-94"
748,2015,"95-99"
748,2015,"100+"
748,2020,"0-4"
748,2020,"5-9"
748,2020,"10-14"
748,2020,"15-19"
748,2020,"20-24"
748,2020,"25-29"
748,2020,"30-34"
748,2020,"35-39"
748,2020,"40-44"
748,2020,"45-49"
748,2020,"50-54"
748,2020,"55-59"
748,2020,"60-64"
748,2020,"65-69"
748,2020,"70-74"
748,2020,"75-79"
748,2020,"80-84"
748,2020,"85-89"
748,2020,"90-94"
748,2020,"95-99"
748,2020,"100+"
748,2025,"0-4"
748,2025,"5-9"
748,2025,"10-14"
748,2025,"15-19"
748,2025,"20-24"
748,2025,"25-29"
748,2025,"30-34"
748,2025,"35-39"
748,2025,"40-44"
748,2025,"45-49"
748,2025,"50-54"
748,2025,"55-59"
748,2025,"60-64"
748,2025,"65-69"
748,2025,"70-74"
748,2025,"75-79"
748,2025,"80-84"
748,2025,"85-89"
748,2025,"90-94"
748,2025,"95-99"
748,2025,"100+"
748,2030,"0-4"
748,2030,"5-9"
748,2030,"10-14"
748,2030,"15-19"
748,2030,"20-24"
748,2030,"25-29"
748,2030,"30-34"
748,2030,"35-39"
748,2030,"40-44"
748,2030,"45-49"
748,2030,"50-54"
748,2030,"55-59"
748,2030,"60-64"
748,2030,"65-69"
748,2030,"70-74"
748,2030,"75-79"
748,2030,"80-84"
748,2030,"85-89"
748,2030,"90-94"
748,2030,"95-99"
748,2030,"100+"
748,2035,"0-4"
748,2035,"5-9"
748,2035,"10-14"
748,2035,"15-19"
748,2035,"20-24"
748,2035,"25-29"
748,2035,"30-34"
748,2035,"35-39"
748,2035,"40-44"
748,2035,"45-49"
748,2035,"50-54"
748,2035,"55-59"
748,2035,"60-64"
748,2035,"65-69"
748,2035,"70-74"
748,2035,"75-79"
748,2035,"80-84"
748,2035,"85-89"
748,2035,"90-94"
748,2035,"95-99"
748,2035,"100+"
748,2040,"0-4"
748,2040,"5-9"
748,2040,"10-14"
748,2040,"15-19"
748,2040,"20-24"
748,2040,"25-29"
748,2040,"30-34"
748,2040,"35-39"
748,2040,"40-44"
748,2040,"45-49"
748,2040,"50-54"
748,2040,"55-59"
748,2040,"60-64"
748,2040,"65-69"
748,2040,"70-74"
748,2040,"75-79"
748,2040,"80-84"
748,2040,"85-89"
748,2040,"90-94"
748,2040,"95-99"
748,2040,"100+"
748,2045,"0-4"
748,2045,"5-9"
748,2045,"10-14"
748,2045,"15-19"
748,2045,"20-24"
748,2045,"25-29"
748,2045,"30-34"
748,2045,"35-39"
748,2045,"40-44"
748,2045,"45-49"
748,2045,"50-54"
748,2045,"55-59"
748,2045,"60-64"
748,2045,"65-69"
748,2045,"70-74"
748,2045,"75-79"
748,2045,"80-84"
748,2045,"85-89"
748,2045,"90-94"
748,2045,"95-99"
748,2045,"100+"
752,1950,"0-4"
752,1950,"5-9"
752,1950,"10-14"
752,1950,"15-19"
752,1950,"20-24"
752,1950,"25-29"
752,1950,"30-34"
752,1950,"35-39"
752,1950,"40-44"
752,1950,"45-49"
752,1950,"50-54"
752,1950,"55-59"
752,1950,"60-64"
752,1950,"65-69"
752,1950,"70-74"
752,1950,"75-79"
752,1955,"0-4"
752,1955,"5-9"
752,1955,"10-14"
752,1955,"15-19"
752,1955,"20-24"
752,1955,"25-29"
752,1955,"30-34"
752,1955,"35-39"
752,1955,"40-44"
752,1955,"45-49"
752,1955,"50-54"
752,1955,"55-59"
752,1955,"60-64"
752,1955,"65-69"
752,1955,"70-74"
752,1955,"75-79"
752,1960,"0-4"
752,1960,"5-9"
752,1960,"10-14"
752,1960,"15-19"
752,1960,"20-24"
752,1960,"25-29"
752,1960,"30-34"
752,1960,"35-39"
752,1960,"40-44"
752,1960,"45-49"
752,1960,"50-54"
752,1960,"55-59"
752,1960,"60-64"
752,1960,"65-69"
752,1960,"70-74"
752,1960,"75-79"
752,1965,"0-4"
752,1965,"5-9"
752,1965,"10-14"
752,1965,"15-19"
752,1965,"20-24"
752,1965,"25-29"
752,1965,"30-34"
752,1965,"35-39"
752,1965,"40-44"
752,1965,"45-49"
752,1965,"50-54"
752,1965,"55-59"
752,1965,"60-64"
752,1965,"65-69"
752,1965,"70-74"
752,1965,"75-79"
752,1970,"0-4"
752,1970,"5-9"
752,1970,"10-14"
752,1970,"15-19"
752,1970,"20-24"
752,1970,"25-29"
752,1970,"30-34"
752,1970,"35-39"
752,1970,"40-44"
752,1970,"45-49"
752,1970,"50-54"
752,1970,"55-59"
752,1970,"60-64"
752,1970,"65-69"
752,1970,"70-74"
752,1970,"75-79"
752,1975,"0-4"
752,1975,"5-9"
752,1975,"10-14"
752,1975,"15-19"
752,1975,"20-24"
752,1975,"25-29"
752,1975,"30-34"
752,1975,"35-39"
752,1975,"40-44"
752,1975,"45-49"
752,1975,"50-54"
752,1975,"55-59"
752,1975,"60-64"
752,1975,"65-69"
752,1975,"70-74"
752,1975,"75-79"
752,1980,"0-4"
752,1980,"5-9"
752,1980,"10-14"
752,1980,"15-19"
752,1980,"20-24"
752,1980,"25-29"
752,1980,"30-34"
752,1980,"35-39"
752,1980,"40-44"
752,1980,"45-49"
752,1980,"50-54"
752,1980,"55-59"
752,1980,"60-64"
752,1980,"65-69"
752,1980,"70-74"
752,1980,"75-79"
752,1985,"0-4"
752,1985,"5-9"
752,1985,"10-14"
752,1985,"15-19"
752,1985,"20-24"
752,1985,"25-29"
752,1985,"30-34"
752,1985,"35-39"
752,1985,"40-44"
752,1985,"45-49"
752,1985,"50-54"
752,1985,"55-59"
752,1985,"60-64"
752,1985,"65-69"
752,1985,"70-74"
752,1985,"75-79"
752,1990,"0-4"
752,1990,"5-9"
752,1990,"10-14"
752,1990,"15-19"
752,1990,"20-24"
752,1990,"25-29"
752,1990,"30-34"
752,1990,"35-39"
752,1990,"40-44"
752,1990,"45-49"
752,1990,"50-54"
752,1990,"55-59"
752,1990,"60-64"
752,1990,"65-69"
752,1990,"70-74"
752,1990,"75-79"
752,1995,"0-4"
752,1995,"5-9"
752,1995,"10-14"
752,1995,"15-19"
752,1995,"20-24"
752,1995,"25-29"
752,1995,"30-34"
752,1995,"35-39"
752,1995,"40-44"
752,1995,"45-49"
752,1995,"50-54"
752,1995,"55-59"
752,1995,"60-64"
752,1995,"65-69"
752,1995,"70-74"
752,1995,"75-79"
752,1995,"80-84"
752,1995,"85-89"
752,1995,"90-94"
752,1995,"95-99"
752,1995,"100+"
752,2000,"0-4"
752,2000,"5-9"
752,2000,"10-14"
752,2000,"15-19"
752,2000,"20-24"
752,2000,"25-29"
752,2000,"30-34"
752,2000,"35-39"
752,2000,"40-44"
752,2000,"45-49"
752,2000,"50-54"
752,2000,"55-59"
752,2000,"60-64"
752,2000,"65-69"
752,2000,"70-74"
752,2000,"75-79"
752,2000,"80-84"
752,2000,"85-89"
752,2000,"90-94"
752,2000,"95-99"
752,2000,"100+"
752,2005,"0-4"
752,2005,"5-9"
752,2005,"10-14"
752,2005,"15-19"
752,2005,"20-24"
752,2005,"25-29"
752,2005,"30-34"
752,2005,"35-39"
752,2005,"40-44"
752,2005,"45-49"
752,2005,"50-54"
752,2005,"55-59"
752,2005,"60-64"
752,2005,"65-69"
752,2005,"70-74"
752,2005,"75-79"
752,2005,"80-84"
752,2005,"85-89"
752,2005,"90-94"
752,2005,"95-99"
752,2005,"100+"
752,2010,"0-4"
752,2010,"5-9"
752,2010,"10-14"
752,2010,"15-19"
752,2010,"20-24"
752,2010,"25-29"
752,2010,"30-34"
752,2010,"35-39"
752,2010,"40-44"
752,2010,"45-49"
752,2010,"50-54"
752,2010,"55-59"
752,2010,"60-64"
752,2010,"65-69"
752,2010,"70-74"
752,2010,"75-79"
752,2010,"80-84"
752,2010,"85-89"
752,2010,"90-94"
752,2010,"95-99"
752,2010,"100+"
752,2015,"0-4"
752,2015,"5-9"
752,2015,"10-14"
752,2015,"15-19"
752,2015,"20-24"
752,2015,"25-29"
752,2015,"30-34"
752,2015,"35-39"
752,2015,"40-44"
752,2015,"45-49"
752,2015,"50-54"
752,2015,"55-59"
752,2015,"60-64"
752,2015,"65-69"
752,2015,"70-74"
752,2015,"75-79"
752,2015,"80-84"
752,2015,"85-89"
752,2015,"90-94"
752,2015,"95-99"
752,2015,"100+"
752,2020,"0-4"
752,2020,"5-9"
752,2020,"10-14"
752,2020,"15-19"
752,2020,"20-24"
752,2020,"25-29"
752,2020,"30-34"
752,2020,"35-39"
752,2020,"40-44"
752,2020,"45-49"
752,2020,"50-54"
752,2020,"55-59"
752,2020,"60-64"
752,2020,"65-69"
752,2020,"70-74"
752,2020,"75-79"
752,2020,"80-84"
752,2020,"85-89"
752,2020,"90-94"
752,2020,"95-99"
752,2020,"100+"
752,2025,"0-4"
752,2025,"5-9"
752,2025,"10-14"
752,2025,"15-19"
752,2025,"20-24"
752,2025,"25-29"
752,2025,"30-34"
752,2025,"35-39"
752,2025,"40-44"
752,2025,"45-49"
752,2025,"50-54"
752,2025,"55-59"
752,2025,"60-64"
752,2025,"65-69"
752,2025,"70-74"
752,2025,"75-79"
752,2025,"80-84"
752,2025,"85-89"
752,2025,"90-94"
752,2025,"95-99"
752,2025,"100+"
752,2030,"0-4"
752,2030,"5-9"
752,2030,"10-14"
752,2030,"15-19"
752,2030,"20-24"
752,2030,"25-29"
752,2030,"30-34"
752,2030,"35-39"
752,2030,"40-44"
752,2030,"45-49"
752,2030,"50-54"
752,2030,"55-59"
752,2030,"60-64"
752,2030,"65-69"
752,2030,"70-74"
752,2030,"75-79"
752,2030,"80-84"
752,2030,"85-89"
752,2030,"90-94"
752,2030,"95-99"
752,2030,"100+"
752,2035,"0-4"
752,2035,"5-9"
752,2035,"10-14"
752,2035,"15-19"
752,2035,"20-24"
752,2035,"25-29"
752,2035,"30-34"
752,2035,"35-39"
752,2035,"40-44"
752,2035,"45-49"
752,2035,"50-54"
752,2035,"55-59"
752,2035,"60-64"
752,2035,"65-69"
752,2035,"70-74"
752,2035,"75-79"
752,2035,"80-84"
752,2035,"85-89"
752,2035,"90-94"
752,2035,"95-99"
752,2035,"100+"
752,2040,"0-4"
752,2040,"5-9"
752,2040,"10-14"
752,2040,"15-19"
752,2040,"20-24"
752,2040,"25-29"
752,2040,"30-34"
752,2040,"35-39"
752,2040,"40-44"
752,2040,"45-49"
752,2040,"50-54"
752,2040,"55-59"
752,2040,"60-64"
752,2040,"65-69"
752,2040,"70-74"
752,2040,"75-79"
752,2040,"80-84"
752,2040,"85-89"
752,2040,"90-94"
752,2040,"95-99"
752,2040,"100+"
752,2045,"0-4"
752,2045,"5-9"
752,2045,"10-14"
752,2045,"15-19"
752,2045,"20-24"
752,2045,"25-29"
752,2045,"30-34"
752,2045,"35-39"
752,2045,"40-44"
752,2045,"45-49"
752,2045,"50-54"
752,2045,"55-59"
752,2045,"60-64"
752,2045,"65-69"
752,2045,"70-74"
752,2045,"75-79"
752,2045,"80-84"
752,2045,"85-89"
752,2045,"90-94"
752,2045,"95-99"
752,2045,"100+"
756,1950,"0-4"
756,1950,"5-9"
756,1950,"10-14"
756,1950,"15-19"
756,1950,"20-24"
756,1950,"25-29"
756,1950,"30-34"
756,1950,"35-39"
756,1950,"40-44"
756,1950,"45-49"
756,1950,"50-54"
756,1950,"55-59"
756,1950,"60-64"
756,1950,"65-69"
756,1950,"70-74"
756,1950,"75-79"
756,1955,"0-4"
756,1955,"5-9"
756,1955,"10-14"
756,1955,"15-19"
756,1955,"20-24"
756,1955,"25-29"
756,1955,"30-34"
756,1955,"35-39"
756,1955,"40-44"
756,1955,"45-49"
756,1955,"50-54"
756,1955,"55-59"
756,1955,"60-64"
756,1955,"65-69"
756,1955,"70-74"
756,1955,"75-79"
756,1960,"0-4"
756,1960,"5-9"
756,1960,"10-14"
756,1960,"15-19"
756,1960,"20-24"
756,1960,"25-29"
756,1960,"30-34"
756,1960,"35-39"
756,1960,"40-44"
756,1960,"45-49"
756,1960,"50-54"
756,1960,"55-59"
756,1960,"60-64"
756,1960,"65-69"
756,1960,"70-74"
756,1960,"75-79"
756,1965,"0-4"
756,1965,"5-9"
756,1965,"10-14"
756,1965,"15-19"
756,1965,"20-24"
756,1965,"25-29"
756,1965,"30-34"
756,1965,"35-39"
756,1965,"40-44"
756,1965,"45-49"
756,1965,"50-54"
756,1965,"55-59"
756,1965,"60-64"
756,1965,"65-69"
756,1965,"70-74"
756,1965,"75-79"
756,1970,"0-4"
756,1970,"5-9"
756,1970,"10-14"
756,1970,"15-19"
756,1970,"20-24"
756,1970,"25-29"
756,1970,"30-34"
756,1970,"35-39"
756,1970,"40-44"
756,1970,"45-49"
756,1970,"50-54"
756,1970,"55-59"
756,1970,"60-64"
756,1970,"65-69"
756,1970,"70-74"
756,1970,"75-79"
756,1975,"0-4"
756,1975,"5-9"
756,1975,"10-14"
756,1975,"15-19"
756,1975,"20-24"
756,1975,"25-29"
756,1975,"30-34"
756,1975,"35-39"
756,1975,"40-44"
756,1975,"45-49"
756,1975,"50-54"
756,1975,"55-59"
756,1975,"60-64"
756,1975,"65-69"
756,1975,"70-74"
756,1975,"75-79"
756,1980,"0-4"
756,1980,"5-9"
756,1980,"10-14"
756,1980,"15-19"
756,1980,"20-24"
756,1980,"25-29"
756,1980,"30-34"
756,1980,"35-39"
756,1980,"40-44"
756,1980,"45-49"
756,1980,"50-54"
756,1980,"55-59"
756,1980,"60-64"
756,1980,"65-69"
756,1980,"70-74"
756,1980,"75-79"
756,1985,"0-4"
756,1985,"5-9"
756,1985,"10-14"
756,1985,"15-19"
756,1985,"20-24"
756,1985,"25-29"
756,1985,"30-34"
756,1985,"35-39"
756,1985,"40-44"
756,1985,"45-49"
756,1985,"50-54"
756,1985,"55-59"
756,1985,"60-64"
756,1985,"65-69"
756,1985,"70-74"
756,1985,"75-79"
756,1990,"0-4"
756,1990,"5-9"
756,1990,"10-14"
756,1990,"15-19"
756,1990,"20-24"
756,1990,"25-29"
756,1990,"30-34"
756,1990,"35-39"
756,1990,"40-44"
756,1990,"45-49"
756,1990,"50-54"
756,1990,"55-59"
756,1990,"60-64"
756,1990,"65-69"
756,1990,"70-74"
756,1990,"75-79"
756,1995,"0-4"
756,1995,"5-9"
756,1995,"10-14"
756,1995,"15-19"
756,1995,"20-24"
756,1995,"25-29"
756,1995,"30-34"
756,1995,"35-39"
756,1995,"40-44"
756,1995,"45-49"
756,1995,"50-54"
756,1995,"55-59"
756,1995,"60-64"
756,1995,"65-69"
756,1995,"70-74"
756,1995,"75-79"
756,1995,"80-84"
756,1995,"85-89"
756,1995,"90-94"
756,1995,"95-99"
756,1995,"100+"
756,2000,"0-4"
756,2000,"5-9"
756,2000,"10-14"
756,2000,"15-19"
756,2000,"20-24"
756,2000,"25-29"
756,2000,"30-34"
756,2000,"35-39"
756,2000,"40-44"
756,2000,"45-49"
756,2000,"50-54"
756,2000,"55-59"
756,2000,"60-64"
756,2000,"65-69"
756,2000,"70-74"
756,2000,"75-79"
756,2000,"80-84"
756,2000,"85-89"
756,2000,"90-94"
756,2000,"95-99"
756,2000,"100+"
756,2005,"0-4"
756,2005,"5-9"
756,2005,"10-14"
756,2005,"15-19"
756,2005,"20-24"
756,2005,"25-29"
756,2005,"30-34"
756,2005,"35-39"
756,2005,"40-44"
756,2005,"45-49"
756,2005,"50-54"
756,2005,"55-59"
756,2005,"60-64"
756,2005,"65-69"
756,2005,"70-74"
756,2005,"75-79"
756,2005,"80-84"
756,2005,"85-89"
756,2005,"90-94"
756,2005,"95-99"
756,2005,"100+"
756,2010,"0-4"
756,2010,"5-9"
756,2010,"10-14"
756,2010,"15-19"
756,2010,"20-24"
756,2010,"25-29"
756,2010,"30-34"
756,2010,"35-39"
756,2010,"40-44"
756,2010,"45-49"
756,2010,"50-54"
756,2010,"55-59"
756,2010,"60-64"
756,2010,"65-69"
756,2010,"70-74"
756,2010,"75-79"
756,2010,"80-84"
756,2010,"85-89"
756,2010,"90-94"
756,2010,"95-99"
756,2010,"100+"
756,2015,"0-4"
756,2015,"5-9"
756,2015,"10-14"
756,2015,"15-19"
756,2015,"20-24"
756,2015,"25-29"
756,2015,"30-34"
756,2015,"35-39"
756,2015,"40-44"
756,2015,"45-49"
756,2015,"50-54"
756,2015,"55-59"
756,2015,"60-64"
756,2015,"65-69"
756,2015,"70-74"
756,2015,"75-79"
756,2015,"80-84"
756,2015,"85-89"
756,2015,"90-94"
756,2015,"95-99"
756,2015,"100+"
756,2020,"0-4"
756,2020,"5-9"
756,2020,"10-14"
756,2020,"15-19"
756,2020,"20-24"
756,2020,"25-29"
756,2020,"30-34"
756,2020,"35-39"
756,2020,"40-44"
756,2020,"45-49"
756,2020,"50-54"
756,2020,"55-59"
756,2020,"60-64"
756,2020,"65-69"
756,2020,"70-74"
756,2020,"75-79"
756,2020,"80-84"
756,2020,"85-89"
756,2020,"90-94"
756,2020,"95-99"
756,2020,"100+"
756,2025,"0-4"
756,2025,"5-9"
756,2025,"10-14"
756,2025,"15-19"
756,2025,"20-24"
756,2025,"25-29"
756,2025,"30-34"
756,2025,"35-39"
756,2025,"40-44"
756,2025,"45-49"
756,2025,"50-54"
756,2025,"55-59"
756,2025,"60-64"
756,2025,"65-69"
756,2025,"70-74"
756,2025,"75-79"
756,2025,"80-84"
756,2025,"85-89"
756,2025,"90-94"
756,2025,"95-99"
756,2025,"100+"
756,2030,"0-4"
756,2030,"5-9"
756,2030,"10-14"
756,2030,"15-19"
756,2030,"20-24"
756,2030,"25-29"
756,2030,"30-34"
756,2030,"35-39"
756,2030,"40-44"
756,2030,"45-49"
756,2030,"50-54"
756,2030,"55-59"
756,2030,"60-64"
756,2030,"65-69"
756,2030,"70-74"
756,2030,"75-79"
756,2030,"80-84"
756,2030,"85-89"
756,2030,"90-94"
756,2030,"95-99"
756,2030,"100+"
756,2035,"0-4"
756,2035,"5-9"
756,2035,"10-14"
756,2035,"15-19"
756,2035,"20-24"
756,2035,"25-29"
756,2035,"30-34"
756,2035,"35-39"
756,2035,"40-44"
756,2035,"45-49"
756,2035,"50-54"
756,2035,"55-59"
756,2035,"60-64"
756,2035,"65-69"
756,2035,"70-74"
756,2035,"75-79"
756,2035,"80-84"
756,2035,"85-89"
756,2035,"90-94"
756,2035,"95-99"
756,2035,"100+"
756,2040,"0-4"
756,2040,"5-9"
756,2040,"10-14"
756,2040,"15-19"
756,2040,"20-24"
756,2040,"25-29"
756,2040,"30-34"
756,2040,"35-39"
756,2040,"40-44"
756,2040,"45-49"
756,2040,"50-54"
756,2040,"55-59"
756,2040,"60-64"
756,2040,"65-69"
756,2040,"70-74"
756,2040,"75-79"
756,2040,"80-84"
756,2040,"85-89"
756,2040,"90-94"
756,2040,"95-99"
756,2040,"100+"
756,2045,"0-4"
756,2045,"5-9"
756,2045,"10-14"
756,2045,"15-19"
756,2045,"20-24"
756,2045,"25-29"
756,2045,"30-34"
756,2045,"35-39"
756,2045,"40-44"
756,2045,"45-49"
756,2045,"50-54"
756,2045,"55-59"
756,2045,"60-64"
756,2045,"65-69"
756,2045,"70-74"
756,2045,"75-79"
756,2045,"80-84"
756,2045,"85-89"
756,2045,"90-94"
756,2045,"95-99"
756,2045,"100+"
760,1950,"0-4"
760,1950,"5-9"
760,1950,"10-14"
760,1950,"15-19"
760,1950,"20-24"
760,1950,"25-29"
760,1950,"30-34"
760,1950,"35-39"
760,1950,"40-44"
760,1950,"45-49"
760,1950,"50-54"
760,1950,"55-59"
760,1950,"60-64"
760,1950,"65-69"
760,1950,"70-74"
760,1950,"75-79"
760,1955,"0-4"
760,1955,"5-9"
760,1955,"10-14"
760,1955,"15-19"
760,1955,"20-24"
760,1955,"25-29"
760,1955,"30-34"
760,1955,"35-39"
760,1955,"40-44"
760,1955,"45-49"
760,1955,"50-54"
760,1955,"55-59"
760,1955,"60-64"
760,1955,"65-69"
760,1955,"70-74"
760,1955,"75-79"
760,1960,"0-4"
760,1960,"5-9"
760,1960,"10-14"
760,1960,"15-19"
760,1960,"20-24"
760,1960,"25-29"
760,1960,"30-34"
760,1960,"35-39"
760,1960,"40-44"
760,1960,"45-49"
760,1960,"50-54"
760,1960,"55-59"
760,1960,"60-64"
760,1960,"65-69"
760,1960,"70-74"
760,1960,"75-79"
760,1965,"0-4"
760,1965,"5-9"
760,1965,"10-14"
760,1965,"15-19"
760,1965,"20-24"
760,1965,"25-29"
760,1965,"30-34"
760,1965,"35-39"
760,1965,"40-44"
760,1965,"45-49"
760,1965,"50-54"
760,1965,"55-59"
760,1965,"60-64"
760,1965,"65-69"
760,1965,"70-74"
760,1965,"75-79"
760,1970,"0-4"
760,1970,"5-9"
760,1970,"10-14"
760,1970,"15-19"
760,1970,"20-24"
760,1970,"25-29"
760,1970,"30-34"
760,1970,"35-39"
760,1970,"40-44"
760,1970,"45-49"
760,1970,"50-54"
760,1970,"55-59"
760,1970,"60-64"
760,1970,"65-69"
760,1970,"70-74"
760,1970,"75-79"
760,1975,"0-4"
760,1975,"5-9"
760,1975,"10-14"
760,1975,"15-19"
760,1975,"20-24"
760,1975,"25-29"
760,1975,"30-34"
760,1975,"35-39"
760,1975,"40-44"
760,1975,"45-49"
760,1975,"50-54"
760,1975,"55-59"
760,1975,"60-64"
760,1975,"65-69"
760,1975,"70-74"
760,1975,"75-79"
760,1980,"0-4"
760,1980,"5-9"
760,1980,"10-14"
760,1980,"15-19"
760,1980,"20-24"
760,1980,"25-29"
760,1980,"30-34"
760,1980,"35-39"
760,1980,"40-44"
760,1980,"45-49"
760,1980,"50-54"
760,1980,"55-59"
760,1980,"60-64"
760,1980,"65-69"
760,1980,"70-74"
760,1980,"75-79"
760,1985,"0-4"
760,1985,"5-9"
760,1985,"10-14"
760,1985,"15-19"
760,1985,"20-24"
760,1985,"25-29"
760,1985,"30-34"
760,1985,"35-39"
760,1985,"40-44"
760,1985,"45-49"
760,1985,"50-54"
760,1985,"55-59"
